,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status,target,numeric_target,cat_target,score,descrete_score
0,... < 0 DM,6,critical account/  other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,1254,0,0.016082315016737625,1
2,no checking account,12,critical account/  other credits existing (not at this bank),education,2096,... <  100 DM,4  <= ... < 7 years,2,none,3,real estate,49,none,own,1,unskilled - resident,2,none,no,male,single,1,2166,1,0.9818929685835667,1
3,... < 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,... <  100 DM,4  <= ... < 7 years,2,guarantor,4,building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2,none,no,male,single,1,7979,1,0.9899715588323441,1
4,... < 0 DM,24,delay in paying off in the past,car (new),4870,... <  100 DM,1  <= ... < 4 years,3,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,no,male,single,1,4959,1,0.9903432145775926,1
5,no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1  <= ... < 4 years,2,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",no,male,single,1,9136,1,1.0016910329167108,1
6,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,.. >= 7 years,3,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,no,male,single,0,2921,1,1.0040729363834564,1
7,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,7026,1,1.0013722041132165,1
8,no checking account,12,existing credits paid back duly till now,radio/television,3059,.. >= 1000 DM,4  <= ... < 7 years,2,none,4,real estate,61,none,own,1,unskilled - resident,1,none,no,male,divorced/separated,1,3141,1,0.9960801720744026,1
9,0 <= ... < 200 DM,30,critical account/  other credits existing (not at this bank),car (new),5234,... <  100 DM,unemployed,4,none,2,"car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,no,male,married/widowed,1,5302,1,1.0074122889908887,1
13,... < 0 DM,24,critical account/  other credits existing (not at this bank),car (new),1199,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,none,no,male,single,1,1295,0,-0.0014934016263604688,0
16,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1,none,no,male,single,0,2512,1,1.0087505072164107,1
17,... < 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,... < 1 year,2,none,3,"car or other, not in attribute 6",25,bank,own,3,skilled employee / official,1,none,no,male,single,1,8137,1,0.9962338588009925,1
19,no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM,.. >= 7 years,3,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,2,"yes, registered under the customers name",no,male,single,0,3493,1,1.0007434420920611,1
20,no checking account,9,critical account/  other credits existing (not at this bank),car (new),2134,... <  100 DM,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",48,none,own,3,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,2204,1,0.9992571942106281,1
21,... < 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= ... < 1000 DM,1  <= ... < 4 years,2,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,no,male,single,0,2705,1,1.0065578222033493,1
22,... < 0 DM,10,critical account/  other credits existing (not at this bank),car (new),2241,... <  100 DM,... < 1 year,1,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,yes,male,single,1,2308,1,0.9827038813347813,1
23,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),car (used),1804,100 <= ... <  500 DM,... < 1 year,3,none,4,building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1,none,no,male,single,0,1869,1,1.0098610448030414,1
24,no checking account,10,critical account/  other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1  <= ... < 4 years,2,none,1,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes,male,married/widowed,1,2112,1,0.9795616136576519,1
25,... < 0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,... <  100 DM,1  <= ... < 4 years,1,none,2,real estate,36,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",no,male,single,1,1422,0,-0.026425644188151076,0
26,no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,none,no,male,married/widowed,0,481,0,0.0019380693543861183,1
28,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2415,... <  100 DM,1  <= ... < 4 years,3,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,none,no,male,single,0,2463,1,0.9931457945055996,1
29,... < 0 DM,60,delay in paying off in the past,business,6836,... <  100 DM,.. >= 7 years,3,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,6970,1,1.005682184955005,1
30,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,.. >= 1000 DM,... < 1 year,3,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,1976,1,1.0008416766810626,1
31,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,no,male,single,0,4077,1,0.998567603720029,1
32,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... <  500 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,5922,1,1.0029604745214549,1
33,no checking account,12,critical account/  other credits existing (not at this bank),business,1264,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,none,no,male,single,1,1344,0,-0.0022573164508618015,0
35,0 <= ... < 200 DM,45,critical account/  other credits existing (not at this bank),radio/television,4746,... <  100 DM,... < 1 year,4,none,2,building society savings agreement/ life insurance,25,none,own,2,unskilled - resident,1,none,no,male,single,1,4826,1,1.0003627878989343,1
36,no checking account,48,critical account/  other credits existing (not at this bank),education,6110,... <  100 DM,1  <= ... < 4 years,1,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,6196,1,0.9605348889163209,1
37,>= 200 DM,18,existing credits paid back duly till now,radio/television,2100,... <  100 DM,1  <= ... < 4 years,4,co-applicant,2,real estate,37,stores,own,1,skilled employee / official,1,none,no,male,single,1,2164,1,1.0063189030848212,1
38,>= 200 DM,10,existing credits paid back duly till now,domestic appliances,1225,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,1279,0,-0.001258170266447367,0
39,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,458,... <  100 DM,1  <= ... < 4 years,4,none,3,real estate,24,none,own,1,skilled employee / official,1,none,no,male,single,1,501,0,-0.008228621419651527,0
40,no checking account,30,existing credits paid back duly till now,radio/television,2333,500 <= ... < 1000 DM,.. >= 7 years,4,none,2,"car or other, not in attribute 6",30,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,no,male,single,1,2402,1,1.0014948695018966,1
41,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1158,500 <= ... < 1000 DM,1  <= ... < 4 years,3,none,1,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,divorced/separated,1,1203,0,-0.01590386467423477,0
42,0 <= ... < 200 DM,18,delay in paying off in the past,repairs,6204,... <  100 DM,1  <= ... < 4 years,2,none,4,real estate,44,none,own,1,unskilled - resident,2,"yes, registered under the customers name",no,male,single,1,6276,1,0.9987025892208532,1
43,... < 0 DM,30,critical account/  other credits existing (not at this bank),car (used),6187,100 <= ... <  500 DM,4  <= ... < 7 years,1,none,4,"car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,none,no,male,married/widowed,1,6250,1,0.9959469706941364,1
46,no checking account,36,existing credits paid back duly till now,radio/television,2299,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,none,no,male,single,1,2385,1,1.0056119115147244,1
48,no checking account,11,critical account/  other credits existing (not at this bank),car (new),7228,... <  100 DM,1  <= ... < 4 years,1,none,4,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,none,no,male,single,1,7287,1,0.9981074264886199,1
50,0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,... < 1 year,4,none,2,building society savings agreement/ life insurance,29,bank,own,1,unskilled - resident,1,none,no,male,single,0,2394,1,1.0009856353824285,1
