,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status
0,... < 0 DM,6,critical account/  other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
1,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,5951,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
2,no checking account,12,critical account/  other credits existing (not at this bank),education,2096,... <  100 DM,4  <= ... < 7 years,2,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,male,single
3,... < 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,... <  100 DM,4  <= ... < 7 years,2,guarantor,4,building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2,none,yes,male,single
4,... < 0 DM,24,delay in paying off in the past,car (new),4870,... <  100 DM,1  <= ... < 4 years,3,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,male,single
5,no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1  <= ... < 4 years,2,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes,male,single
6,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,.. >= 7 years,3,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,yes,male,single
7,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
8,no checking account,12,existing credits paid back duly till now,radio/television,3059,.. >= 1000 DM,4  <= ... < 7 years,2,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated
9,0 <= ... < 200 DM,30,critical account/  other credits existing (not at this bank),car (new),5234,... <  100 DM,unemployed,4,none,2,"car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,married/widowed
